t,x,y,z
0.08000000000000006,1.7161622838095598,3.487453676770077,1.6999990678833385
0.08100000000000006,1.7339951767614588,3.529313082609319,1.7176791280364208
0.08200000000000006,1.7520691223934146,3.5715716940464532,1.7356010524676322
0.08300000000000006,1.7703857186870426,3.614234396768203,1.753766467795325
0.08400000000000006,1.7889465963779547,3.6573060846858527,1.772177034882927
0.08500000000000006,1.8077534187126498,3.700791660124231,1.790834448617519
0.08600000000000006,1.826807881209602,3.74469603399021,1.8097404376931723
0.08700000000000006,1.8461117114243,3.789024125920585,1.8288967643988
0.08800000000000006,1.8656666687179924,3.833780864409187,1.8483052244102787
0.08900000000000007,1.8854745440298954,3.8789711869130765,1.8679676465865975
0.09000000000000007,1.905537159652619,3.924600039937658,1.8878858927697937
0.09100000000000007,1.9258563690105681,3.97067237910054,1.9080618575884327
